"s","label","count"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","1084"
"http://data.cervantesvirtual.com/person/5050","Altamira, Rafael, 1866-1951","1001"
"http://data.cervantesvirtual.com/person/18","Pérez Galdós, Benito, 1843-1920","972"
"http://data.cervantesvirtual.com/person/70","Pardo Bazán, Emilia, Condesa de, 1851-1921","679"
"http://data.cervantesvirtual.com/person/16","Alas, Leopoldo, 1852-1901","505"
"http://data.cervantesvirtual.com/person/72","Vega, Lope de, 1562-1635","436"
"http://data.cervantesvirtual.com/person/6","Quevedo, Francisco de, 1580-1645","430"
"http://data.cervantesvirtual.com/person/79","Calderón de la Barca, Pedro, 1600-1681","332"
"http://data.cervantesvirtual.com/person/5463","Esplá, Carlos, 1895-1971","325"
"http://data.cervantesvirtual.com/person/31","Menéndez y Pelayo, Marcelino, 1856-1912","306"
"http://data.cervantesvirtual.com/person/71359","Madero, Francisco I., 1873-1913","288"
"http://data.cervantesvirtual.com/person/2949","Cela, Camilo José, 1916-2002","255"
"http://data.cervantesvirtual.com/person/8501","Reyes, Alfonso, 1889-1959","237"
"http://data.cervantesvirtual.com/person/273","García Lorca, Federico, 1898-1936","224"
"http://data.cervantesvirtual.com/person/17846","Virgen María","216"
"http://data.cervantesvirtual.com/person/2968","Unamuno, Miguel de, 1864-1936","202"
"http://data.cervantesvirtual.com/person/3","Pereda, José María de, 1833-1906","195"
"http://data.cervantesvirtual.com/person/347","Aristóteles, 384 A.C.-322 A.C","191"
"http://data.cervantesvirtual.com/person/142","Colón, Cristóbal, 1451-1506","186"
"http://data.cervantesvirtual.com/person/4129","Machado, Antonio, 1875-1939","185"
"http://data.cervantesvirtual.com/person/69","Darío, Rubén, 1867-1916","171"
"http://data.cervantesvirtual.com/person/36809","Rabal, Francisco, 1926-2001","167"
"http://data.cervantesvirtual.com/person/68","Teresa de Jesús, Santa, 1515-1582","163"
"http://data.cervantesvirtual.com/person/61","Juana Inés de la Cruz, Sor, 1651-1695","160"
"http://data.cervantesvirtual.com/person/1203","Martorell, Joanot, 1413-1465","159"
"http://data.cervantesvirtual.com/person/50","Sarmiento, Domingo Faustino, 1811-1888","150"
"http://data.cervantesvirtual.com/person/14884","Moyano, Daniel, 1930-1992","145"
"http://data.cervantesvirtual.com/person/73821","Valenzuela, Luisa, 1938-","144"
"http://data.cervantesvirtual.com/person/4432","Hernández, Miguel, 1910-1942","143"
"http://data.cervantesvirtual.com/person/2951","Cortázar, Julio, 1914-1984","139"
"http://data.cervantesvirtual.com/person/17","Blasco Ibáñez, Vicente, 1867-1928","138"
"http://data.cervantesvirtual.com/person/15035","Prieto, Indalecio, 1883-1962","137"
"http://data.cervantesvirtual.com/person/7605","Rubinstein, Artur, 1882-1982","132"
"http://data.cervantesvirtual.com/person/659","Ruiz, Juan, Arcipreste de Hita, aproximadamente 1283-1350","130"
"http://data.cervantesvirtual.com/person/3484","Valle-Inclán, Ramón del, 1866-1936","127"
"http://data.cervantesvirtual.com/person/2961","Neruda, Pablo, 1904-1973","123"
"http://data.cervantesvirtual.com/person/2958","Jiménez, Juan Ramón, 1881-1958","121"
"http://data.cervantesvirtual.com/person/1199","Roís de Corella, Joan, 1435-1497","120"
"http://data.cervantesvirtual.com/person/90","Alfonso X, Rey de Castilla, 1221-1284","119"
"http://data.cervantesvirtual.com/person/587","March, Ausiàs, 1400-1459","119"
"http://data.cervantesvirtual.com/person/583","Miró, Gabriel, 1879-1930","119"
"http://data.cervantesvirtual.com/person/82758","Xammar, Eugeni, 1888-1973","118"
"http://data.cervantesvirtual.com/person/25009","Felipe V, Rey de España, 1683-1746","116"
"http://data.cervantesvirtual.com/person/298","Rojas, Fernando de, aproximadamente 1470-1541","115"
"http://data.cervantesvirtual.com/person/108506","Di Benedetto, Antonio, 1922-1986","114"
"http://data.cervantesvirtual.com/person/30868","Ramírez, Sergio, 1942-","114"
"http://data.cervantesvirtual.com/person/100","Mira de Amescua, Antonio, 1577-1644","113"
"http://data.cervantesvirtual.com/person/9123","Jesucristo","112"
"http://data.cervantesvirtual.com/person/98","Molina, Tirso de, 1579-1648","112"
"http://data.cervantesvirtual.com/person/2946","Borges, Jorge Luis, 1899-1986","108"
